cdate,prediction,actual
2015-03-11,0.503,1.260
2015-03-10,0.504,-0.192
2015-03-09,0.502,-1.696
2015-03-06,0.504,0.394
2015-03-05,0.500,-1.417
2015-03-04,0.500,0.120
2015-03-03,0.498,-0.439
2015-03-02,0.496,-0.454
2015-02-27,0.499,0.612
2015-02-26,0.501,-0.296
2015-02-25,0.498,-0.148
2015-02-24,0.504,-0.077
2015-02-23,0.503,0.276
2015-02-20,0.507,-0.030
2015-02-19,0.504,0.613
2015-02-18,0.507,-0.106
2015-02-17,0.509,-0.031
2015-02-13,0.508,0.160
2015-02-12,0.508,0.407
2015-02-11,0.512,0.964
2015-02-10,0.511,-0.003
2015-02-09,0.512,1.068
2015-02-06,0.511,-0.425
2015-02-05,0.512,-0.342
2015-02-04,0.509,1.029
2015-02-03,0.510,-0.416
2015-02-02,0.510,1.444
2015-01-30,0.510,1.296
2015-01-29,0.509,-1.299
2015-01-28,0.509,0.953
2015-01-27,0.512,-1.350
2015-01-26,0.511,-1.339
2015-01-23,0.512,0.257
2015-01-22,0.509,-0.549
2015-01-21,0.511,1.527
2015-01-20,0.511,0.473
2015-01-16,0.509,0.155
2015-01-15,0.509,1.342
2015-01-14,0.509,-0.925
2015-01-13,0.511,-0.581
2015-01-12,0.512,-0.258
2015-01-09,0.513,-0.809
2015-01-08,0.512,-0.840
2015-01-07,0.513,1.789
2015-01-06,0.512,1.163
2015-01-05,0.513,-0.889
2015-01-02,0.510,-1.828
2014-12-31,0.511,-0.034
2014-12-30,0.512,-1.031
2014-12-29,0.514,-0.489
2014-12-26,0.512,0.086
2014-12-24,0.514,0.331
2014-12-23,0.514,-0.014
2014-12-22,0.513,0.175
2014-12-19,0.515,0.381
2014-12-18,0.515,0.457
2014-12-17,0.514,2.402
2014-12-16,0.514,2.035
2014-12-15,0.513,-0.849
2014-12-12,0.515,-0.634
2014-12-11,0.514,-1.621
2014-12-10,0.515,0.454
2014-12-09,0.515,-1.635
2014-12-08,0.512,-0.024
2014-12-05,0.512,-0.726
2014-12-04,0.511,0.167
2014-12-03,0.511,-0.116
2014-12-02,0.512,0.376
2014-12-01,0.513,0.638
2014-11-28,0.512,-0.683
2014-11-26,0.511,-0.254
2014-11-25,0.508,0.281
2014-11-24,0.502,-0.115
2014-11-21,0.507,0.286
2014-11-20,0.513,0.524
2014-11-19,0.509,0.197
2014-11-18,0.512,-0.150
2014-11-17,0.513,0.513
2014-11-14,0.510,0.074
2014-11-13,0.509,0.024
2014-11-12,0.512,0.053
2014-11-11,0.514,-0.070
2014-11-10,0.514,0.070
2014-11-07,0.515,0.312
2014-11-06,0.520,0.035
2014-11-05,0.517,0.378
2014-11-04,0.517,0.570
2014-11-03,0.516,-0.283
2014-10-31,0.514,-0.012
2014-10-30,0.516,1.173
2014-10-29,0.513,0.623
2014-10-28,0.510,-0.139
2014-10-27,0.515,1.194
2014-10-24,0.515,-0.150
2014-10-23,0.516,0.705
2014-10-22,0.519,1.230
2014-10-21,0.515,-0.730
2014-10-20,0.515,1.957
2014-10-17,0.512,0.914
